python -m models.reg_lstm --dataset R8 --mode static --batch-size 32 --lr 0.01 --epochs 30 --bidirectional --num-layers 1 --hidden-dim 512 --wdrop 0.1 --embed-droprate 0.2 --dropout 0.5 --beta-ema 0.99 --seed 3435 --no-cuda
Dataset: R8
No. of target classes: 8
No. of train instances 4937
No. of dev instances 2189
No. of test instances 2189
Applying weight drop of 0.1 to weight_hh_l0

  Time Epoch Iteration Progress    (%Epoch)   Loss     Accuracy
     2     1         1     1/155         1% 2.069596       3.1250
    72     1        11    11/155         7% 2.227703      36.6477
   112     1        21    21/155        14% 3.381757      52.0833
   175     1        31    31/155        20% 1.554556      47.4798
   213     1        41    41/155        26% 1.030617      48.3232
   256     1        51    51/155        33% 1.094667      50.1225
   300     1        61    61/155        39% 1.921577      51.4857
   360     1        71    71/155        46% 0.782201      52.6849
   395     1        81    81/155        52% 1.412387      55.2083
   418     1        91    91/155        59% 0.299087      58.2074
   450     1       101   101/155        65% 0.453966      59.7463
   490     1       111   111/155        72% 0.251926      61.3739
   539     1       121   121/155        78% 1.950163      62.6808
   601     1       131   131/155        85% 1.529713      63.2634
   720     1       141   141/155        91% 0.277029      63.8672
   755     1       151   151/155        97% 1.468831      64.8991

  Time Epoch Iteration Progress     Dev/Acc. Dev/Pr.  Dev/Recall   Dev/F1       Dev/Loss
  1149     1       155     1/30     0.7707   0.7707   0.7707       0.7707       0.6755

  Time Epoch Iteration Progress    (%Epoch)   Loss     Accuracy
  1240     2       161     6/155         4% 0.416888      84.8958
  1401     2       171    16/155        10% 1.024578      82.0312
  1565     2       181    26/155        17% 0.259456      82.0913
  1940     2       191    36/155        23% 0.668043      80.3819
  2094     2       201    46/155        30% 0.613607      81.7255
  2262     2       211    56/155        36% 0.709679      81.3058
  2588     2       221    66/155        43% 0.167499      80.1610
  2766     2       231    76/155        49% 0.149413      81.0033
  3100     2       241    86/155        55% 0.799370      80.7413
  3261     2       251    96/155        62% 0.346013      81.1523
  3403     2       261   106/155        68% 0.622768      81.6627
  3627     2       271   116/155        75% 0.071224      82.1390
  4028     2       281   126/155        81% 0.876442      81.8452
  4139     2       291   136/155        88% 0.187074      82.2840
  4371     2       301   146/155        94% 0.260091      82.4048

  Time Epoch Iteration Progress     Dev/Acc. Dev/Pr.  Dev/Recall   Dev/F1       Dev/Loss
  5166     2       310     2/30     0.8945   0.8945   0.8945       0.8945       0.2999

  Time Epoch Iteration Progress    (%Epoch)   Loss     Accuracy
  5172     3       311     1/155         1% 0.684752      78.1250
  5333     3       321    11/155         7% 0.904530      86.0795
  5523     3       331    21/155        14% 0.284601      87.9464
  5700     3       341    31/155        20% 0.407027      89.3145
  5968     3       351    41/155        26% 0.432069      89.2530
  6268     3       361    51/155        33% 0.173290      89.3995
  6438     3       371    61/155        39% 0.430656      89.6516
  6710     3       381    71/155        46% 0.127351      89.5246
  6883     3       391    81/155        52% 0.480295      89.1975
  7067     3       401    91/155        59% 0.445910      88.9423
  7346     3       411   101/155        65% 0.651882      88.9233
  7503     3       421   111/155        72% 0.063185      89.0203
  7682     3       431   121/155        78% 0.595273      89.2045
  7749     3       441   131/155        85% 0.312929      89.2300
  7812     3       451   141/155        91% 0.764416      88.9730
  7847     3       461   151/155        97% 0.181779      89.1454

  Time Epoch Iteration Progress     Dev/Acc. Dev/Pr.  Dev/Recall   Dev/F1       Dev/Loss
  7932     3       465     3/30     0.9525   0.9525   0.9525       0.9525       0.1600

  Time Epoch Iteration Progress    (%Epoch)   Loss     Accuracy
  7960     4       471     6/155         4% 0.657624      88.5417
  8025     4       481    16/155        10% 0.526475      89.4531
  8059     4       491    26/155        17% 0.085645      90.6250
  8092     4       501    36/155        23% 0.250900      90.7118
  8128     4       511    46/155        30% 0.003348      90.7609
  8158     4       521    56/155        36% 0.059963      90.7924
  8185     4       531    66/155        43% 0.002271      90.8617
  8209     4       541    76/155        49% 0.403461      90.8306
  8261     4       551    86/155        55% 0.237337      90.6977
  8293     4       561    96/155        62% 0.065512      91.0807
  8353     4       571   106/155        68% 0.573111      90.6250
  8385     4       581   116/155        75% 0.224546      90.7597
  8445     4       591   126/155        81% 0.529319      90.8456
  8487     4       601   136/155        88% 0.074904      91.0834
  8533     4       611   146/155        94% 0.196800      91.1809

  Time Epoch Iteration Progress     Dev/Acc. Dev/Pr.  Dev/Recall   Dev/F1       Dev/Loss
  8633     4       620     4/30     0.9561   0.9561   0.9561       0.9561       0.1220

  Time Epoch Iteration Progress    (%Epoch)   Loss     Accuracy
  8638     5       621     1/155         1% 0.334389      84.3750
  8682     5       631    11/155         7% 0.051932      94.6023
  8718     5       641    21/155        14% 0.453454      92.5595
  8774     5       651    31/155        20% 0.057812      91.7339
  8800     5       661    41/155        26% 0.025822      92.8354
  8820     5       671    51/155        33% 0.011762      93.1985
  8857     5       681    61/155        39% 0.056024      93.4426
  8891     5       691    71/155        46% 0.303163      93.6620
  8978     5       701    81/155        52% 0.438791      93.0556
  9008     5       711    91/155        59% 0.004734      93.1662
  9032     5       721   101/155        65% 0.208442      93.2859
  9081     5       731   111/155        72% 0.222350      93.2714
  9144     5       741   121/155        78% 0.231670      93.1151
  9196     5       751   131/155        85% 0.069258      93.0439
  9219     5       761   141/155        91% 0.541085      93.0720
  9271     5       771   151/155        97% 0.000290      93.1587

  Time Epoch Iteration Progress     Dev/Acc. Dev/Pr.  Dev/Recall   Dev/F1       Dev/Loss
  9363     5       775     5/30     0.9644   0.9644   0.9644       0.9644       0.1065

  Time Epoch Iteration Progress    (%Epoch)   Loss     Accuracy
  9375     6       781     6/155         4% 0.141746      96.8750
  9444     6       791    16/155        10% 0.351436      94.1406
  9498     6       801    26/155        17% 0.480141      93.0288
